match_no,date,venue,batting_team,bowling_team,innings,Over_No,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,Total_Runs,wicket_type,player_dismissed,fielder
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.1,Rohit,Shaheen Afridi,2,0,0,0,0,0,2,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.2,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.3,Rohit,Shaheen Afridi,6,0,0,0,0,0,6,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.4,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.5,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,1,0.6,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.1,Kohli,Naseem Shah,4,0,0,0,0,0,4,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.2,Kohli,Naseem Shah,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.3,Kohli,Naseem Shah,0,0,0,0,0,0,0,caught,Kohli,Usman Khan
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.4,Pant,Naseem Shah,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.5,Pant,Naseem Shah,0,2,1,0,0,0,3,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.5,Rohit,Naseem Shah,4,0,0,0,0,0,4,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,2,1.6,Rohit,Naseem Shah,1,0,0,0,0,0,1,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.1,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.2,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.3,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.4,Rohit,Shaheen Afridi,0,0,0,0,0,0,0,caught,Rohit,Haris Rauf
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.5,Axar,Shaheen Afridi,0,1,1,0,0,0,2,,,
19,9-Jun-24,"Nassau County International Cricket Stadium, New York",IND,PAK,1,3,2.5,Axar,Shaheen Afridi,0,0,0,0,0,0,0,,,
